Objective	Sequence	Objective Type	Step SubSequence	Step Type	Step Automation	Method	Method From	Data Object Input	Input Format	Input Data Type	Method With	Method To	Data Object Output	Output Format	Output Data Type	Notes	interview	projectid
XPS to measure composition	4	Composition Measurement	4	Analyze	Manual	XPS software	USB_D	D_XPS_info	Wems	Both	Hand-input	XPS software	D_XPS_analysis	TXT	Data		D	TRANSITIONMETAL
XPS to measure composition	4	Composition Measurement	5	Store	Manual	Dropbox	Dropbox_D	D_XPS_analysis	TXT	Data	Hand-input	Dropbox_D	D_XPS_analysis	TXT	Data		D	TRANSITIONMETAL
XPS to measure composition	4	Composition Measurement	6	Store	Manual	Store	XPS:Harvard CNS	D_TMD_1	Physical material	Data	Hand-transfer	Lab sample storage	D_TMD_1	Physical material	Data		D	TRANSITIONMETAL
XRD for phase analysis	5	Optical Property Measurement	1	Measure	Automated partially	XRD:MIT MRL	Lab sample storage	D_TMD_1	Physical material	Data	XRD:MIT MRL	USB_D	D_XRD_info	XRD proprietary format	Both	Machine location: MRL at MIT	D	TRANSITIONMETAL
XRD for phase analysis	5	Optical Property Measurement	2	Transfer	Manual	USB	XRD:MIT MRL	D_XRD_info	XRD proprietary format	Both	Hand-input	USB_D	D_XRD_info	XRD proprietary format	Both		D	TRANSITIONMETAL
XRD for phase analysis	5	Optical Property Measurement	3	Store	Manual	Dropbox	USB_D	D_XRD_plot_fit	Unspecified XRD plot format	Data	Hand-input	Dropbox:Group	D_XRD_plot_fit	XRD proprietary format	Data		D	TRANSITIONMETAL
XRD for phase analysis	5	Optical Property Measurement	4	Analyze	Manual	Origin plot software	USB_D	D_XRD_info	XRD proprietary format	Both	Hand-input	Origin plot software	D_XRD_plot	Unspecified XRD plot format	Data		D	TRANSITIONMETAL
XRD for phase analysis	5	Optical Property Measurement	5	Analyze	Manual	HighScore Plus XRD software	USB_D	D_XRD_plot	Origin software priopreitary format	Data	Hand-input	Dropbox_D	D_XRD_plot_fit	Unspecified XRD plot fit profile format	Data		D	TRANSITIONMETAL
XRD for phase analysis	5	Optical Property Measurement	6	Store	Manual	Dropbox	Dropbox_D	D_XRD_plot_fit	Unspecified XRD plot format	Data	Hand-input	Dropbox_D	D_XRD_plot_fit	Unspecified XRD plot fit profile format	Data		D	TRANSITIONMETAL
XRD for phase analysis	5	Optical Property Measurement	7	Store	Manual	Store	XRD:MIT MRL	D_TMD_1	Physical material	Data	Hand-transfer	Lab sample storage	D_TMD_1	Physical material	Data		D	TRANSITIONMETAL
FTIR to measure optical properties	6	Optical Property Measurement	1	Measure	Manual	FTIR:Harvard CNS	Lab sample storage	D_TMD_1	Physical material	Data	FTIR:Harvard CNS	USB_D	D_FTIR_info	TXT	Both	Machine location: Harvard CNS (Center of Nanoscale Science)	D	TRANSITIONMETAL
FTIR to measure optical properties	6	Optical Property Measurement	2	Transfer	Manual	USB	FTIR:Harvard CNS	D_FTIR_info	TXT	Both	Hand-input	Dropbox:Group	D_FTIR_info	TXT	Both		D	TRANSITIONMETAL
FTIR to measure optical properties	6	Optical Property Measurement	3	Store	Manual	Dropbox	USB_D	D_FTIR_info	TXT	Both	Hand-input	Dropbox:Group	D_FTIR_info	TXT	Both		D	TRANSITIONMETAL
FTIR to measure optical properties	6	Optical Property Measurement	4	Analyze	Manual	Unspecified analysis technique	Dropbox:Group	D_FTIR_info	TXT	Both	Hand-input	Dropbox_D	D_FTIR_analyzed	TXT	Data		D	TRANSITIONMETAL
FTIR to measure optical properties	6	Optical Property Measurement	5	Store	Manual	Store	FTIR:Harvard CNS	D_TMD_1	Physical material	Data	Hand-transfer	Lab sample storage	D_TMD_1	Physical material	Data		D	TRANSITIONMETAL
Ellipsometry to measure optical properties	7	Optical Property Measurement	1	Measure	Manual	Ellipsometry with Laser Setup:ISN	Lab sample storage	D_TMD_1	Physical material	Data	Ellipsometry with Laser Setup:ISN	USB_D	D_Ellipsometry_info	TXT	Both	Machine locations: ISNT (MIT) and Tufts; NOTE:C indicated that ellipsometry data is saved as DAT and converted to TXT. File format here for ellipsometry is assumed	D	TRANSITIONMETAL
Ellipsometry to measure optical properties	7	Optical Property Measurement	2	Transfer	Manual	USB	Ellipsometry with Laser Setup:ISN	D_Ellipsometry_info	TXT	Both	Hand-input	Dropbox:Group	D_Ellipsometry_info	TXT	Both		D	TRANSITIONMETAL
Ellipsometry to measure optical properties	7	Optical Property Measurement	3	Store	Manual	Dropbox	USB_D	D_Ellipsometry_info	TXT	Both	Hand-input	Dropbox:Group	D_Ellipsometry_info	TXT	Both		D	TRANSITIONMETAL
Ellipsometry to measure optical properties	7	Optical Property Measurement	4	Analyze	Manual	Non-linear fitting software	USB_D	D_Ellipsometry_info	TXT	Both	Hand-input	Non-linear fitting software	D_Ellipsometry_analyzed	TXT	Data		D	TRANSITIONMETAL
Ellipsometry to measure optical properties	7	Optical Property Measurement	5	Store	Manual	Dropbox	Non-linear fitting software	D_Ellipsometry_analyzed	TXT	Data	Hand-input	Dropbox_D	D_Ellipsometry_analyzed	TXT	Data		D	TRANSITIONMETAL
Ellipsometry to measure optical properties	7	Optical Property Measurement	6	Store	Manual	Dropbox	Dropbox_D	D_Ellipsometry_info	TXT	Data	Hand-input	Dropbox_D	D_Ellipsometry_info	TXT	Both		D	TRANSITIONMETAL
Ellipsometry to measure optical properties	7	Optical Property Measurement	6	Store	Manual	Store	Ellipsometry with Laser Setup:ISN	D_TMD_1	Physical material	Data	Hand-transfer	Lab sample storage	D_TMD_1	Physical material	Data		D	TRANSITIONMETAL
DFT simulation (theoretical calculations to predict optical properties of TMD)	8	Simulation	1	Simulate	Automated partially	WASP simulation package	USB_D	D_Parameters_1	TXT	Metadata	WASP simulation package	USB_D	D_DFT_calculations	TXT	Metadata	Density functional theory (DFT) measurements using WASP simulation package licensed for Professor Judy's group - accessed remotely through a computer cluster	D	TRANSITIONMETAL
DFT simulation (theoretical calculations to predict optical properties of TMD)	8	Simulation	2	Transfer	Manual	USB	WASP simulation package	D_DFT_calculations	TXT	Data	Hand-input	Dropbox:Group	D_DFT_calculations	TXT	Data		D	TRANSITIONMETAL
DFT simulation (theoretical calculations to predict optical properties of TMD)	8	Simulation	3	Store	Manual	Dropbox	USB_D	D_DFT_calculations	TXT	Data	Hand-input	Dropbox:Group	D_DFT_calculations	TXT	Data		D	TRANSITIONMETAL
